"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Prince Edward Island","2016A000211","Male police officers","Number","223","units","0","v53509191","3.10","205","","","","0"
"2012","Prince Edward Island","2016A000211","Male police officers","Number","223","units","0","v53509191","3.10","205","","","","0"
"2013","Prince Edward Island","2016A000211","Male police officers","Number","223","units","0","v53509191","3.10","195","","","","0"
"2014","Prince Edward Island","2016A000211","Male police officers","Number","223","units","0","v53509191","3.10","203","","","","0"
"2015","Prince Edward Island","2016A000211","Male police officers","Number","223","units","0","v53509191","3.10","194","","","","0"
"2016","Prince Edward Island","2016A000211","Male police officers","Number","223","units","0","v53509191","3.10","193","","","","0"
"2017","Prince Edward Island","2016A000211","Male police officers","Number","223","units","0","v53509191","3.10","189","","","","0"
"2018","Prince Edward Island","2016A000211","Male police officers","Number","223","units","0","v53509191","3.10","183","","","","0"
"2019","Prince Edward Island","2016A000211","Male police officers","Number","223","units","0","v53509191","3.10","179","","","","0"
"1998","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","15","","","","0"
"1999","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","19","","","","0"
"2000","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","21","","","","0"
"2001","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","21","","","","0"
"2002","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","25","","","","0"
"2003","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","25","","","","0"
"2004","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","27","","","","0"
"2005","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","27","","","","0"
"2006","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","30","","","","0"
"2007","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","32","","","","0"
"2008","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","29","","","","0"
"2009","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","31","","","","0"
"2010","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","37","","","","0"
"2011","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","39","","","","0"
"2012","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","42","","","","0"
"2013","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","37","","","","0"
"2014","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","33","","","","0"
"2015","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","32","","","","0"
"2016","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","34","","","","0"
"2017","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","33","","","","0"
"2018","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","33","","","","0"
"2019","Prince Edward Island","2016A000211","Female police officers","Number","223","units","0","v53509192","3.11","36","","","","0"
"1998","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","65","","","","0"
"1999","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","79","","","","0"
"2000","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","77","","","","0"
"2001","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","78","","","","0"
"2002","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","71","","","","0"
"2003","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","74","","","","0"
"2004","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","75","","","","0"
"2005","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","77","","","","0"
"2006","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","80","","","","0"
"2007","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","74","","","","0"
"2008","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","83","","","","0"
"2009","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","81","","","","0"
"2010","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","87","","","","0"
"2011","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","90","","","","0"
"2012","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","89","","","","0"
"2013","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","90","","","","0"
"2014","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","84","","","","0"
"2015","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","80","","","","0"
"2016","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","83","","","","0"
"2017","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","86","","","","0"
"2018","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","79","","","","0"
"2019","Prince Edward Island","2016A000211","Total number of civilian and other personnel","Number","223","units","0","v19457808","3.3","78","","","","0"
"1998","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","3.1","","","","1"
"1999","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.5","","","","1"
"2000","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.7","","","","1"
"2001","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.6","","","","1"
"2002","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","3.0","","","","1"
"2003","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.9","","","","1"
"2004","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.8","","","","1"
"2005","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.8","","","","1"
"2006","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.8","","","","1"
"2007","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","3.1","","","","1"
"2008","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.8","","","","1"
"2009","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.9","","","","1"
"2010","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.7","","","","1"
"2011","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.7","","","","1"
"2012","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.8","","","","1"
"2013","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.6","","","","1"
"2014","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.8","","","","1"
"2015","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.8","","","","1"
"2016","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.7","","","","1"
"2017","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.6","","","","1"
"2018","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.8","","","","1"
"2019","Prince Edward Island","2016A000211","Police-civilian ratio","Ratio","270","units","0","v19457810","3.4","2.8","","","","1"
"1998","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","149.5","","","","1"
"1999","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","144.5","","","","1"
"2000","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","150.2","","","","1"
"2001","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","148.5","","","","1"
"2002","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","156.3","","","","1"
"2003","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","158.9","","","","1"
"2004","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","150.4","","","","1"
"2005","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","154.3","","","","1"
"2006","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","159.6","","","","1"
"2007","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","164.8","","","","1"
"2008","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","166.5","","","","1"
"2009","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","167.3","","","","1"
"2010","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","168.0","","","","1"
"2011","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","169.5","","","","1"
"2012","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","170.9","","","","1"
"2013","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","161.0","","","","1"
"2014","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","163.6","","","","1"
"2015","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","156.4","","","","1"
"2016","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","154.5","","","","1"
"2017","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","147.5","","","","1"
"2018","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","140.6","","","","1"
"2019","Prince Edward Island","2016A000211","Police officers per 100,000 population","Rate","257","units","0","v19457812","3.6","136.7","","","","1"
"1998","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","244","","","","0"
"1999","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","248","","","","0"
"2000","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","251","","","","0"
"2001","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","252","","","","0"
"2002","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","260","","","","0"
"2003","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","260","","","","0"
"2004","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","260","","","","0"
"2005","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","256","","","","0"
"2006","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","260","","","","0"
"2007","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","271","","","","0"
"2008","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","281","","","","0"
"2009","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","242","","","","0"
"2010","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","242","","","","0"
"2011","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","242","","","","0"
"2012","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","246","","","","0"
"2013","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","247","","","","0"
"2014","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","245","","","","0"
"2015","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","245","","","","0"
"2016","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","239","","","","0"
"2017","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","238","","","","0"
"2018","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","235","","","","0"
"2019","Prince Edward Island","2016A000211","Authorized police officer strength","Number","223","units","0","v65783502","3.12","227","","","","0"
"1998","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","179.7","","","","1"
"1999","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","182.0","","","","1"
"2000","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","183.9","","","","1"
"2001","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","184.4","","","","1"
"2002","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","190.0","","","","1"
"2003","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","189.5","","","","1"
"2004","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","188.9","","","","1"
"2005","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","185.4","","","","1"
"2006","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","188.6","","","","1"
"2007","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","196.8","","","","1"
"2008","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","202.5","","","","1"
"2009","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","173.0","","","","1"
"2010","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","170.8","","","","1"
"2011","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","168.1","","","","1"
"2012","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","170.2","","","","1"
"2013","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","171.4","","","","1"
"2014","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","169.8","","","","1"
"2015","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","169.5","","","","1"
"2016","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","162.6","","","","1"
"2017","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","158.2","","","","1"
"2018","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","153.0","","","","1"
"2019","Prince Edward Island","2016A000211","Authorized police officer strength per 100,000 population","Rate","257","units","0","v65783503","3.13","144.6","","","","1"
"1998","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","42.5","","","","1"
"1999","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","49.1","","","","1"
"2000","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","45.8","","","","1"
"2001","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","47.1","","","","1"
"2002","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","49.7","","","","1"
"2003","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","54.5","","","","1"
"2004","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","54.7","","","","1"
"2005","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","49.6","","","","1"
"2006","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","42.6","","","","1"
"2007","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","36.9","","","","1"
"2008","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","37.8","","","","1"
"2009","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","37.8","","","","1"
"2010","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","37.2","","","","1"
"2011","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","37.5","","","","1"
"2012","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","38.7","","","","1"
"2013","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","36.8","","","","1"
"2014","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","29.3","","","","1"
"2015","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","26.9","","","","1"
"2016","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","28.3","","","","1"
"2017","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","28.1","","","","1"
"2018","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","33.4","","","","1"
"2019","Prince Edward Island","2016A000211","Criminal Code incidents per police officer","Rate","257","units","0","v19457813","3.7","39.4","","","","1"
"1998","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","73.31","","","","2"
"1999","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","78.99","","","","2"
"2000","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","76.33","","","","2"
"2001","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","75.35","","","","2"
"2002","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","85.18","","","","2"
"2003","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","91.03","","","","2"
"2004","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","81.93","","","","2"
"2005","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","76.82","","","","2"
"2006","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","71.79","","","","2"
"2007","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","64.06","","","","2"
"2008","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","68.67","","","","2"
"2009","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","66.35","","","","2"
"2010","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","66.36","","","","2"
"2011","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","67.26","","","","2"
"2012","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","73.60","","","","2"
"2013","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","65.31","","","","2"
"2014","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","55.75","","","","2"
"2015","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","50.63","","","","2"
"2016","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","49.33","","","","2"
"2017","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","45.86","","","","2"
"2018","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","54.18","","","","2"
"2019","Prince Edward Island","2016A000211","Crime severity index","Index","160","units","0","v65783504","3.14","64.03","","","","2"
"1998","Prince Edward Island","2016A000211","Weighted clearance rate","Rate","257","units","0","v65783505","3.15","50.45","","","","2"
"1999","Prince Edward Island","2016A000211","Weighted clearance rate","Rate","257","units","0","v65783505","3.15","35.92","","","","2"
